ind	haploid	diploid
Afus1	57.704440362262	95.1503481985338
BH3-2	18.3541031223501	29.6574332091661
WW1-2	NA	28.4384451399899
WW1-4	NA	28.5142786953093
WW2-1	NA	26.6823029206948
WW2-5	NA	27.7730863727462
WW2-6	NA	26.3696813853784
WW3-1	NA	22.7429751764481
WW5-1	NA	28.9730857428068
WW5-3	NA	30.6292742492209
WW5-4	NA	18.4308628756542
WW5-5	NA	38.7848485815243
WW5-6	NA	19.4362478140859
